Track,日本語,English
GP_0001_Just_off_t.wav,バルセロナ海岸のすぐ近く,Just off the coast of Barcelona.
GP_0002_There_have.wav,厳格なルールが必要だ、でなければ結果がねじ曲がってしまう,"There have to be strict rules. Otherwise, the results will be tainted."
GP_0003_Heading_on.wav,‎地上に降りてこの４人の死を無効にしてくる,Heading on down to Earth to reverse the deaths of these four people.
GP_0004_Hope_I_don.wav,真ん中の席じゃないといいな,Hope I don't get a middle seat.
GP_0005_I_m_gonna_.wav,結構乗り物酔いしちゃいそうだよ, I'm gonna get so motion-sick.
GP_0006_What_s_the.wav,キーチェーンは何が重要なの？,What's the significance of the key chain?
GP_0007_Knock_your.wav,楽しんで来い,Knock yourself out.
GP_0008_The_mind_r.wav,頭がくらくらするや,The mind reels.
GP_0009_Hot_enough.wav,今日も暑いね,Hot enough for ya?
GP_010_Tell_me_ab.wav,本当に、勘弁してよ,Tell me about it.
GP_011_Being_good.wav,いい人でいることはつまんないやつのすること。何の得があるの？,Being good is for suckers. What do you even get out of it?
GP_012_If_I_get_t.wav,2人を引き合わせさえすれば、あとはすべて自然とついてくる,"If I get them together, everything else will follow."
GP_013_I_m_gonna_.wav,エレノアとどこかで接触して、チディを探す必要があるという考えを植え付ける,I'm gonna meet Eleanor someplace and plant the idea in her mind that she needs to find Chidi.
GP_014_I_m_just_g.wav,2人がくっつくよう背中を押すだけだ,I'm just gonna nudge the two of them together.
GP_015_The_Judge_.wav,判事はルールについてはとても明確だった,The Judge was pretty clear in her instructions.
GP_016_She_spends.wav,彼女は部屋にこもってでドラマを見続けている,She spends all her time in her chambers binging TV shows.
GP_017_I_m_a_tras.wav,私はアリゾナ出身のごみよ、それでわかるでしょ,"I'm a trash bag from Arizona, which is saying something."
GP_018_I_need_som.wav,道徳的に言って、僕を導く人が必要だし、それは君でそうである必要があると思う,"I need someone to help guide me, morally speaking. And I think I need it to be you."
GP_019_In_a_nutsh.wav,端的に言って、3600ページの論文を書いていて、全く終わりが見えてない,"In a nutshell, I have a 3,600-page thesis, and I am nowhere near finishing."
GP_020_I_got_that.wav,あなたがどの椅子に座るかを決められなかったの時にわかった,I got that when you couldn't choose a chair to sit on.
GP_021_I_didn_t_w.wav,お気に入りがあったらいけないと思って,I didn't wanna offend you in case you had a favorite.
GP_022_You_just_m.wav,事前の連絡もなしに私のオフィスに押し入り、すべてをあきらめる(中断する)よう要求してきた,You just marched into my office unannounced and demanded I drop everything.
GP_023_That_s_a_f.wav,それはの活動の揺らぎで、赤か青かを選ぶよう言われたときにおこったもの,That's a flurry of activity that occurred when I asked you to choose between red and blue.
GP_024_Philosophe.wav,‎哲学者は１つの問いについて考えるのに生涯をかけられる,Philosophers can spend your entire life mulling over a single question.
GP_025_I_have_bee.wav,体を鍛えることを後回しにしている,I have been putting off getting in shape.
GP_026_It_serves_.wav,あなたに質問したのだから、自業自得だ,It serves him right for questioning you.
GP_027_When_I_wan.wav,友達に何か素敵なものを上げようとしたら、きまって食べ物なの,"When I want to get something nice for one of my friends, it usually comes in the form of something edible."
GP_028_You_and_Si.wav,あなたとシモーヌにはオタク教授の空気感がある,You and Simone have some real professor-dork vibes flowing.
GP_029_I_have_lef.wav,多くを運任せにしてきた,I have left too much to chance.
GP_030_Just_a_lit.wav,旧友へのちょっとしたお土産,Just a little treat for my old pal.
GP_031_First__I_c.wav,まず世界各国の持ちものを断捨離した,"First, I cleansed myself of all the worldly possessions."
GP_032_That_reall.wav,あれは効果てきめんだったな,That really went over big.
GP_033_He_looks_a.wav,彼は相変わらずのようだ,He looks about the same.
GP_034_Not_just_a.wav,ただの悪魔じゃない,Not just any demon.
GP_035_Comin__in_.wav,ただのデザートで強くでたね,Comin' in strong with free dessert.
GP_036_We_get_a_s.wav,私たちは彼らのベースラインの道徳的本能を把握する,We get a sense of their baseline moral instincts.
GP_037_Back_at_it.wav,でたまた白のVansだ,Back at it again with White Vans.
GP_038_A_second_t.wav,1秒遅かった,A second too late.
GP_039_I_m_gonna_.wav,一杯目はおごるよ,I'm gonna get the first round.
GP_040_Can_I_get_.wav,(店員が)いっぱいめどうしますか？,Can I get you started with some drinks?
GP_041_I_m_all_ou.wav,ここでは調子が狂う,I'm all out of sorts down here.
GP_042_The_instan.wav,私たちが出発する直前に,"The instant before we left,"
GP_043_Every_time.wav,君等のうち１人がほかの人が共感できないことを言うたび、どっちも飲む,"Every time one of you says something that the other can't relate to, you both drink."
GP_044_You_gotta_.wav,就業時間外なんだからリラックスして,"You gotta relax, man. You're off the clock."
GP_045_I_might_sk.wav,被験者と仲良くして研究をゆがめてしまうかもしれない, I might skew the study by fraternizing with the subjects.
GP_046_Explain_th.wav,まず説明して、そしたらそのような状況で私がどうするかを言うよ,"Explain that first. Then, I'll tell you what I do in situations such as the one you're about to describe."
GP_047_That_s_not.wav,私が期待していたものじゃないんだよね,That's not really what I signed up for.
GP_048_It_s_gonna.wav,このグループを壊すのはそう簡単にはいなかい,It's gonna take a lot more than that to break up this group.
GP_049_Further_ap.wav,見た目が悪いのも重ねてお詫びする,Further apologies for their appearance.
GP_050_I_m_finall.wav,なぜかがやっとわかりかけている,I'm finally on the path to understanding why.
GP_051_I_m_like_a.wav,私は、プリントタスクが急に始まって未完了の資料を印刷し始めたときのプリンターみたい,I'm like a printer when the print queue suddenly starts processing all the unprinted documents.
GP_052_Buckle_up_.wav,備えて,"Buckle up, folks."
GP_053_Pullling_f.wav,応援するよ,Pullling for ya.
GP_054_There_s_a_.wav,ねじが外れているかなんか,There's a bolt missing or something.
GP_055_To_me__the.wav,私にとって宇宙で最もひどい音は、同僚が歌うHappyBirthdayのめちゃめちゃ外した出だしだ,"To me, the single most awful sound in the universe is that mangled opening note of your co-workers singing ""Happy Birthday."""
GP_056_You_really.wav,よく説明できてた,You really painted a picture there.
GP_057_We_have_to.wav,芽のうちに摘んでおこう,We have to nip this in the bud.
GP_058_I_might_as.wav,どうせならジェイソンにジーンズのショートパンツでも買おうかな。端がほつれててポケットが見えるやつね,"I might as well pick Jason up some jean shorts, the kind with the frayed edges, where you can see the pockets coming out the bottom?"
GP_059_How_are_yo.wav,どうやってこれを持ち歩いているの？これと同じ重さのものをベンチプレスですらできるかわからない,How are you even lugging this thing around? I'm not sure I could bench this much weight.
GP_060_It_s_very_.wav,ついさっきのことだから、そのままの服装できて,It's very last minute. Come as you are.
GP_061_You_must_b.wav,こんな人生を根こそぎしちゃうとは、自信のある人に違いない,"You must be a confident man, uprooting your life like that."
GP_062_Actually__.wav,タハニの発表を受けて私たちは考えてみた,"Actually, Tahani's announcement made us take stock."
GP_063_It_says_it.wav,10キロ先だって、、どんだけ遠いのかもわからない。- 6マイル弱だよ,"It says it's ten kilometers away, which is... I don't even know how far. -It's a little over six miles."
GP_064_Point_made.wav,なるほどね、つづけて,"Point made, keep going."
GP_065_I_don_t_th.wav,‎あたなたは“自分 対 集団”を 克服できてないと思う,"I don't think you ever got past the ""me versus us"" stage."
GP_066_I_had_to_a.wav,君たちの状況を記録するために、いろんな変装をして現れる必要があった,I had to appear in different disguises to keep tabs on you.
GP_067_That_s_the.wav,大枠はそんな感じ,That's the gist.
GP_068_I_was_thin.wav,地獄に送られたことがあるといわれたときに考えがちなように、なぜに地獄に送られたのかを考えていた,I was thinking about why I was sent to hell as one is wont to do when one has recently been told that one had been sent to hell.
GP_069_I_have_alw.wav,私はいつも注目されたい欲求にとらわれていた,I have always been held captive by my desire for attention.
GP_070_It_ll_be_a.wav,それは私たちが学んだすべてのものを完璧に説明するものになる,It'll be a complete account of everything we've learned.
GP_071_Could_you_.wav,これもいっしょに持ってってくれる？,Could you bring it along?
GP_072_Anything_e.wav,他に（いやいや）もっていってほしいものは？,Anything else you want me to schlep over?
GP_073_131_millio.wav,131百万イギリスポンドを、この人口座、あからさまに飴は1客1つというルールを無視している男に、、？,"131 million British pounds, to the account of this person, a man who is so flagrantly ignoring the ""one lollipop per customer"" rule."
GP_074_A_lot_of_p.wav,これを私に届けてくれる人はそう多くないだろう,A lot of people wouldn't have tried so hard to get this to me.
GP_075_I_m_gonna_.wav,このチリを食べきってやる,I'm gonna eat all this chili and/or die trying.
GP_076_How_do_you.wav,どうだまいったか,How do you like them apples?
GP_077_You_just_a.wav,50ポンドのチリを食べたんだから、あなたの責任よ,"You just ate 50 pounds of chili, bro. This one's on you."
GP_078_It_s_all_w.wav,すべて過ぎ去ったこと/水に流すよ,It's all water under the bridge.
GP_079_It_goes_wi.wav,ぼくらも参加することは言うまでもない,It goes without saying that we're in.
GP_080_I_will_tel.wav,それだけ言っておく,I will tell you that much.
GP_081_Why_is_it_.wav,なんで人間は新しいものを発明するたびにポルノに使おうとするの？,"Why is it that every time a new thing is invented, humans immediately try to use it for porn?"
GP_082_Unfortunat.wav,残念ながらある情報を知ってしまった,"Unfortunately, I have come to learn some information."
GP_083_Don_t_worr.wav,心配しないで、大げさにする必要はない,"Don't worry, we don't have to make a big thing of it."
GP_084_On_that_mu.wav,その点についてはみんな認めてる,"On that much, we can all agree on."
GP_085_You_might_.wav,君の父親は見込みなしである可能性も考えておきたいだろう,You might want to consider the possibility that your father's a lost cause.
GP_086_It_s_a_fig.wav,それはものの例えだ,It's a figure of speech.
GP_087_I_got_clos.wav,父さんのことは気持ちの整理がついた,I got closure with my dad.
GP_088_I_know_thi.wav,受け入れがたいのはわかる,I know this is a lot to take in.
GP_089_I_have_nev.wav,私はどんな形でも待ったことがない、ましてや列でなんて,"I have never waited in any kind of formation, let alone a line."
GP_090_Stands_to_.wav,彼女にとっても同じことが事実であることは当然だ,Stands to reason that the same would be true for her.
GP_091_What_a_fun.wav,普通のこというのになんて楽しそうなの,"What a fun way to say a normal thing, right?"
GP_092_She_s_comp.wav,彼女はでたらめばっかりだ,She's completely full of it.
GP_093_I_would_li.wav,私たちの多難な歴史において自分にも責任があると思う,I would like to take responsibility for my part in our fraught history.
GP_094_Not_even_c.wav,惜しくすらない。場外って感じ,"Not even close. Like, not in the ballpark."
GP_095_Maybe_we_s.wav,第三者の仲裁を試してみるのもいいかもしれないね,Maybe we should try a little third-party mediation.
GP_096_More_Tahan.wav,またタハニの実行されもしない演出ね,More Tahani theatrics with zero follow-through?
GP_097_I_know_as_.wav,自称父親としては何か慰めになることを言うべきなのはわかるが、言葉が見つからない,"I know as your self-appointed father figure, I'm supposed to say something comforting here, but I'm stumped."
GP_098_I_understa.wav,私の謝罪が受け入れられないのは、創造欲求がそれで満たされる(抑えられる)からなのは理解している,I understand that you can't accept my apology because that would quench your creative thirst.
GP_099_Did_I_look.wav,髪がないのイケてた？いつも似合うんじゃないかって思ってた,Did I look hot bald? 'Cause I always kinda felt like I could pull it off.
GP_100_A_stunning.wav,驚異的な生物で、人間の部分は同伴者のイメージを映す,"A stunning creature, whose human half takes on the image of its companion."
GP_101_That_was_m.wav,それが最初の衝動だったから、それにする,"That was my first impulse, and that is the one I'll take!"
GP_102_That_way_y.wav,そうすれば、恩知らずだかなんだかな気分になることを心配する必要がないでしょ,"That way you don't have to worry about feeling ungrateful, or whatever,"
GP_103_With_whom_.wav,新しい靴を手に入れるためには誰と話せる？,With whom can I speak about acquiring new shoes?
GP_104_I_know_you.wav,君が感じていることを言うのが苦手なのは知っているよ,I know you have trouble saying how you feel.
GP_105_All_right_.wav,わかった、これで終わりにしよう,"All right, let's get this over with."
GP_106_There_is_n.wav,自由意志なんてものはない,There is no such thing as free will.
GP_107_You_made_c.wav,君は私が予想だにしない選択をした,You made choices I never saw coming.
GP_108_Growing_yo.wav,自給自足している、完全に社会から断絶されて,"Growing your own food, completely off the grid."
